0.6	0.124896	2.06613	1.19533	
0.6	1.84636	2.27155	0.436748	
0.6	2.08793	2.38304	0.303367	
0.6	2.90788	0.472033	0.0163121	
0.6	0.751439	3.69818	1.03842	
0.6	2.25169	0.219241	0.222307	
0.6	1.78727	0.529275	0.471125	
0.6	2.8482	4.73008	0.0256397	
0.6	0.174834	2.499	1.19085	
0.6	2.23013	3.71586	0.232445	
0.6	1.72224	3.50768	0.509481	
0.6	2.83089	1.94136	0.0287277	
0.6	1.82371	2.56656	0.449866	
0.6	1.03972	3.36731	0.903876	
0.6	0.816292	0.609059	1.01096	
0.6	1.8848	5.92868	0.414681	
0.6	1.9867	5.857	0.35759	
0.6	2.34131	1.39982	0.182097	
0.6	1.23943	2.8601	0.795201	
0.6	1.0304	1.60902	0.908686	
0.6	1.14567	4.73686	0.847461	
0.6	1.15866	4.43953	0.840343	
0.6	2.04761	0.0760625	0.324631	
0.6	1.15511	4.80566	0.84229	
0.6	2.07478	0.44471	0.310248	
0.6	0.31502	5.8916	1.17047	
0.6	0.128764	2.31968	1.19503	
0.6	1.35455	3.33099	0.728741	
0.6	0.99593	0.558256	0.926234	
0.6	1.42335	4.64857	0.688148	
0.6	2.6327	4.70879	0.076028	
0.6	0.572486	5.61863	1.10433	
0.6	3.02685	0.906716	0.00394551	
0.6	0.623453	0.567999	1.08712	
0.6	0.23013	0.514009	1.18418	
0.6	2.85056	0.133634	0.0252307	
0.6	1.32767	2.40638	0.744445	
0.6	2.24089	5.09087	0.227363	
0.6	1.86339	0.749434	0.426939	
0.6	1.05348	5.99703	0.89673	
0.6	1.01585	4.30262	0.916138	
0.6	1.87695	2.1307	0.419167	
0.6	2.36759	1.42218	0.170928	
0.6	0.137186	4.05795	1.19436	
0.6	3.08203	0.200753	0.00106391	
0.6	0.917005	6.03174	0.96492	
0.6	2.76333	1.42219	0.0424155	
0.6	1.11965	1.56169	0.8616	
0.6	0.580364	3.77252	1.10176	
0.6	2.4467	2.52548	0.139125	
0.6	2.73067	4.5294	0.0499475	
0.6	1.59393	0.631277	0.586122	
0.6	0.384639	4.8571	1.15616	
0.6	2.77876	2.6092	0.0390625	
0.6	0.721384	0.293518	1.05054	
0.6	1.1768	4.48327	0.830329	
0.6	1.15078	1.18107	0.844667	
